Dim1,Dim2,DBSCAN_noise,Cluster,Cluster_Name,Exited,Geography,Age,Balance,NumOfProducts,IsActiveMember
-0.348415584198542,-0.5939402582744139,0,0,Low-Balance France/Spain Multi-Product Loyalists,1,France,42,0.0,1,1
-0.3234371326284156,-0.29391120539462173,0,1,Germany-Heavy Single-Product Watchlist,0,Spain,41,83807.86,1,1
0.9081043721172237,1.3910645187962034,1,2,High-Balance Germany-Heavy Passive Holders,1,France,42,159660.8,3,0
-0.5593075104718248,-0.49664507290069904,0,0,Low-Balance France/Spain Multi-Product Loyalists,0,France,39,0.0,2,0
0.6535833417122487,0.40715455047176363,0,1,Germany-Heavy Single-Product Watchlist,0,Spain,43,125510.82,1,1
0.10979423518182288,0.35169429783443357,0,2,High-Balance Germany-Heavy Passive Holders,1,Spain,44,113755.78,2,0
-1.629465551158416,2.2924154684149607,0,0,Low-Balance France/Spain Multi-Product Loyalists,0,France,50,0.0,2,1
5.247016641617944,2.6710428246959204,1,0,Low-Balance France/Spain Multi-Product Loyalists,1,Germany,29,115046.74,4,0
1.0068559916603486,-0.5757177754190527,0,1,Germany-Heavy Single-Product Watchlist,0,France,44,142051.07,2,1
0.057390106054640594,0.025374152005500417,0,1,Germany-Heavy Single-Product Watchlist,0,France,27,134603.88,1,1
0.793764872885125,-0.39670520847033097,0,2,High-Balance Germany-Heavy Passive Holders,0,France,31,102016.72,2,0
-1.7164147050297465,0.10492941098476438,0,0,Low-Balance France/Spain Multi-Product Loyalists,0,Spain,24,0.0,2,0
-1.0927018367466164,-0.029780370171913817,0,0,Low-Balance France/Spain Multi-Product Loyalists,0,France,34,0.0,2,0
-0.5311628919521832,0.796358727373603,0,0,Low-Balance France/Spain Multi-Product Loyalists,0,France,25,0.0,2,0
-2.4294416266884005,-0.21723441554711723,0,0,Low-Balance France/Spain Multi-Product Loyalists,0,Spain,35,0.0,2,1
2.1346581759686805,0.24849540671484968,0,1,Germany-Heavy Single-Product Watchlist,0,Germany,45,143129.41,2,1
0.26624716735256004,-0.9473941967764417,0,1,Germany-Heavy Single-Product Watchlist,1,Germany,58,132602.88,1,0
-1.2653678966044337,0.12441613432214627,0,0,Low-Balance France/Spain Multi-Product Loyalists,0,Spain,24,0.0,2,1
0.6239225750769677,0.5062342823308976,0,0,Low-Balance France/Spain Multi-Product Loyalists,0,Spain,45,0.0,1,0
-1.8468714696809996,0.3733164911226383,0,0,Low-Balance France/Spain Multi-Product Loyalists,0,France,24,0.0,2,1
-1.7982748279298795,0.3143061196345548,0,0,Low-Balance France/Spain Multi-Product Loyalists,0,France,41,0.0,2,1
-0.9263255023895371,-0.7020936323444782,0,0,Low-Balance France/Spain Multi-Product Loyalists,0,Spain,32,0.0,2,0
-0.5734777444377076,-0.21616097804319057,0,0,Low-Balance France/Spain Multi-Product Loyalists,1,Spain,38,0.0,1,0
-1.26338659341324,-0.29767099622878723,0,0,Low-Balance France/Spain Multi-Product Loyalists,0,France,46,0.0,2,1
